set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
15151023,8.446603,Mondi,DIN A4 (210 x 297 mm),gruen,250,160
7458506,24.852505,Papier Union,unknown,tuerkis,100,320
6875210,23.445229,Igepa,DIN A3 (297 x 420 mm),orange,250,170
8246685,15.598024,Papyrus,DIN A4 (210 x 297 mm),weiss,250,250
699393,7.0431046,Mondi,DIN A4 (210 x 297 mm),orange,250,160
15770656,16.157,Arjowiggins,unknown,kieselgrau,100,170
15921378,14.440496,Arjowiggins,unknown,ziegelrot,100,120
15225769,23.07292,Mondi,DIN A3 (297 x 420 mm),weiss,250,160
2201156,5.1073294,Papyrus,DIN A4 (210 x 297 mm),gelb,500,80
1631174,4.757704,Staples,DIN A4 (210 x 297 mm),lachs,500,80
14209076,3.6208336,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),grau,35,90
10389973,11.304763,Portucel Soporcel,DIN A3 (297 x 420 mm),weiss,250,160
13320635,3.9745827,Clairefontaine,DIN A4 (210 x 297 mm),rosa,250,120
12934209,2.9007146,Unbekannt,DIN A4 (210 x 297 mm),weiss,500,80
7135820,4.492315,Optibelt,DIN A4 (210 x 297 mm),goldgelb,25,120
14998056,17.221334,Papyrus,DIN A3 (297 x 420 mm),rosa,250,160
1397138,12.3788395,Clairefontaine,DIN A4 (210 x 297 mm),gelb,1000,160
11161080,12.098533,Unbekannt,DIN A4 (210 x 297 mm),weiss,2500,unknown
2285637,23.838182,Mondi,DIN A3 (297 x 420 mm),weiss,500,100
14630488,103.170006,Epson,DIN A2 (420 x 594 mm),unknown,25,260
2451952,18.251963,Schaefer Group,DIN A4 (210 x 297 mm),unknown,2500,75
11112940,3.850481,Papyrus,DIN A4 (210 x 297 mm),weiss,500,80
9572778,5.0291667,Clairefontaine,DIN A4 (210 x 297 mm),rosa,100,80
2392924,8.00091,Clairefontaine,DIN A4 (210 x 297 mm),elfenbein,250,190
11384244,16.31708,Image,DIN A3 (297 x 420 mm),weiss,125,250
1549185,6.4609985,Mondi,DIN A4 (210 x 297 mm),gruen,500,80
1389515,1281.3698,Mondi,DIN A4 (210 x 297 mm),weiss,500,100
